"1768830889766594,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 12 -9 12 -9 12 -10 12 -10 11 -11 11 -11 11 -11 10 -11 10 -12 10 -12 9 -12 9 -12 9 -12 8 -12 8 -12 8 -11 8 -12 8 -11 7 -11 7 -11 8 -11 8 -10 7 -11 7 -10 7 -10 8 0 0 -9 7 -9 7 -8 8 -9 8 -9 8 -8 8 -8 9 -8 9 -8 9 -8 9 -8 9 -7 9 -7 9 -7 10 -7 10 -7 10 -6 10 -6 10 -6 11 -6 11 -A,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 -12 -10 -12 -10 -13 -10 -13 -9 -14 -8 -13 -8 -13 -7 -14 -7 -14 -7 -15 -7 -14 -6 -14 -6 -14 -6 -13 -6 -14 -6 -13 -5 -13 -6 -13 -5 -13 -5 -13 -6 -13 -5 -13 -5 -12 -5 -13 -5 -12 -5 -11 0 0 -6 -12 -6 -11 -6 -11 -6 -11 -6 -11 -7 -11 -7 -11 -7 -11 -7 -10 -7 -10 -8 -10 -8 -10 -8 -10 -9 -10 -9 -10 -9 -9 -10 -10 -9 -9 -9 -9 -10 -9 -10 -9 -11 -9 -11 -9 -11 -9 -11 -9 -11 -9 0 0 0 0 0 0 0 0 0 0]"
"1768830889771114,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 15 -2 14 -2 15 -3 15 -3 15 -4 14 -4 14 -5 14 -4 14 -5 14 -6 14 -6 13 -6 13 -6 13 -6 12 -6 12 -6 12 -6 12 -6 12 -6 12 -5 11 -5 12 -6 11 -5 11 -5 11 -5 11 0 0 -4 11 -3 11 -3 11 -3 11 -3 11 -2 11 -2 11 -2 11 -2 11 -2 11 -2 11 -1 11 -1 12 0 11 0 12 0 12 0 12 0 12 1 12 1 12 1 12 2 12 2 13 2 13 2 13 2 12 0 0 0 0 0 0 0 0 0 0]"
"1768830889777691,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 6 13 6 13 6 14 5 14 5 14 4 14 3 14 3 14 3 14 3 15 2 14 2 14 2 14 2 14 1 14 1 13 1 12 1 12 1 13 1 13 1 12 1 13 0 12 1 12 2 12 1 12 0 0 2 11 2 12 2 11 2 11 3 11 3 11 3 11 3 11 3 10 4 10 4 10 4 11 4 11 5 11 5 10 5 11 6 10 5 10 5 10 6 10 6 10 7 11 7 11 8 11 7 10 7 11 0 0 0 0 0 0 0 0 0 0]"
"1768830889782105,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -7 13 -6 13 -6 13 -5 13 -5 14 -5 14 -4 14 -3 13 -3 14 -3 13 -3 13 -3 13 -2 13 -2 13 -2 12 -2 12 -1 12 -1 12 -1 12 -1 11 -1 12 -1 11 -1 11 -1 11 -2 11 -2 0 0 11 -2 10 -3 11 -2 11 -3 11 -3 11 -3 11 -3 10 -3 10 -4 10 -4 10 -4 10 -4 10 -5 10 -4 10 -5 10 -6 10 -5 10 -6 10 -6 10 -6 10 -7 10 -6 11 -7 10 -7 10 -8 10 -7 0 0 0 0 0 0 0 0 0 0]"
"1768830889788632,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 8 -11 7 -12 7 -12 7 -12 6 -12 6 -12 6 -12 6 -13 5 -13 4 -12 4 -12 4 -12 4 -12 4 -12 3 -12 3 -12 3 -11 2 -12 2 -12 3 -11 3 -11 2 -11 3 -11 3 -11 3 -11 3 0 0 -10 3 -10 3 -10 3 -10 3 -10 3 -10 4 -10 4 -10 4 -9 5 -9 5 -9 5 -9 5 -9 5 -9 6 -9 5 -9 6 -9 6 -9 6 -9 7 -9 7 -9 7 -9 7 -9 7 -9 7 -9 8 -9 8 0 0 0 0 0 0 0 0 0 0]"
"1768830889792972,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -6 12 -5 12 -5 12 -4 13 -4 13 -4 13 -3 12 -3 13 -3 13 -2 13 -2 12 -2 12 -2 12 -1 12 -1 12 -2 11 -1 11 -1 11 -1 11 -1 11 -1 11 -1 10 -1 11 -1 10 -2 10 -2 0 0 10 -2 10 -2 10 -2 10 -2 9 -3 10 -3 9 -3 9 -3 9 -4 9 -4 9 -4 9 -4 9 -4 9 -4 9 -5 9 -6 9 -6 9 -6 9 -6 9 -6 9 -7 9 -7 9 -6 9 -7 9 -7 9 -7 0 0 0 0 0 0 0 0 0 0]"
"1768830889797295,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 4 14 3 14 3 15 3 15 2 15 1 14 1 15 0 15 0 14 0 15 0 14 0 14 0 14 0 14 -1 14 -1 13 -2 13 -2 12 -1 13 -1 13 -1 12 -1 12 -2 12 -1 12 0 12 -1 12 0 0 -1 11 0 12 1 11 0 11 1 11 1 12 1 12 1 11 1 11 2 11 2 11 3 11 3 11 3 11 3 11 3 11 4 11 4 11 4 11 4 11 4 11 5 11 5 11 6 11 5 11 6 11 0 0 0 0 0 0 0 0 0 0]"
"1768830889803758,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 4 -15 4 -16 3 -16 3 -15 2 -16 2 -15 2 -15 1 -15 1 -15 0 -15 0 -15 0 -15 -1 -14 0 -15 -1 -14 0 -14 -1 -13 -1 -14 -2 -13 -1 -13 -1 -13 -1 -13 0 -13 -1 -13 0 -12 0 0 0 -12 0 -12 1 -12 1 -12 1 -12 1 -12 1 -12 1 -12 1 -11 2 -12 3 -12 4 -11 3 -11 3 -12 4 -12 4 -12 4 -12 4 -11 5 -12 5 -12 5 -12 5 -12 5 -12 6 -12 6 -12 7 -11 6 0 0 0 0 0 0 0 0 0 0]"
"1768830889808118,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 13 -8 12 -9 12 -10 12 -10 11 -10 11 -11 11 -11 10 -11 10 -11 10 -11 10 -11 9 -11 9 -11 9 -11 8 -11 9 -11 8 -11 8 -11 8 -11 8 -10 7 -11 7 -10 8 -10 8 -9 7 -10 8 0 0 -10 8 -9 7 -9 8 -9 8 -8 8 -8 8 -8 8 -8 8 -8 9 -8 9 -7 9 -7 9 -7 9 -6 10 -7 10 -7 10 -6 11 -6 10 -6 11 -6 11 -6 11 -6 11 -6 11 -5 12 -5 12 -5 12 0 0 0 0 0 0 0 0 0 0]"
"1768830889814626,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -10 -12 -11 -12 -11 -11 -12 -11 -12 -10 -13 -9 -12 -9 -13 -8 -13 -9 -13 -8 -12 -8 -12 -8 -13 -8 -13 -8 -13 -7 -12 -7 -12 -7 -12 -7 -12 -7 -13 -7 -12 -7 -12 -6 -11 -7 -11 -7 -11 -7 -11 0 0 -7 -11 -7 -10 -7 -10 -7 -10 -8 -10 -8 -10 -8 -10 -8 -9 -8 -9 -9 -9 -9 -9 -9 -8 -9 -8 -10 -8 -9 -8 -10 -8 -11 -8 -11 -8 -10 -8 -11 -8 -11 -8 -12 -7 -12 -8 -13 -7 -12 -7 -12 -7 0 0 0 0 0 0 0 0 0 0]"
"1768830889818987,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 14 -6 14 -6 13 -7 14 -7 13 -8 13 -9 13 -8 12 -8 12 -9 12 -8 12 -9 11 -9 11 -9 11 -9 10 -9 10 -9 10 -9 10 -9 10 -9 10 -8 10 -8 9 -8 9 -8 10 -7 9 -7 9 0 0 -7 9 -6 10 -6 10 -6 9 -6 10 -6 10 -5 10 -5 10 -5 10 -5 10 -5 11 -4 11 -4 11 -4 11 -4 11 -4 11 -3 11 -3 11 -3 12 -3 11 -3 12 -2 12 -2 12 -2 12 -2 12 -2 12 0 0 0 0 0 0 0 0 0 0]"
