"1768831230572954,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 15 6 15 7 15 8 15 8 15 8 14 9 14 9 13 9 13 10 13 11 13 10 12 10 13 11 12 11 12 11 11 10 11 10 11 10 11 11 11 11 11 10 11 10 10 10 11 10 11 10 10 9 0 0 10 8 11 8 11 8 10 8 11 8 11 7 11 7 11 7 11 6 11 6 11 6 12 6 12 6 13 5 12 5 13 5 13 4 13 4 13 4 13 4 13 3 14 4 14 3 14 3 14 3 14 3 0 0 0 0 0 0 0 0 0 0]"
"1768831230577416,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 15 3 15 4 15 5 15 5 15 6 14 6 14 6 14 7 13 7 14 8 13 7 13 8 13 8 12 8 13 9 12 7 11 8 12 8 12 8 11 8 11 8 11 8 11 7 11 8 11 8 11 6 0 0 11 6 11 6 11 6 11 5 11 6 11 5 11 5 11 5 11 4 11 4 11 4 12 4 12 4 12 3 12 2 12 2 13 2 12 2 13 2 12 1 13 1 13 2 13 1 13 1 13 1 13 1 0 0 0 0 0 0 0 0 0 0]"
"1768831230581776,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -3 -15 -4 -16 -4 -16 -5 -15 -5 -15 -6 -15 -6 -15 -6 -14 -7 -15 -7 -14 -6 -14 -7 -14 -7 -14 -7 -13 -8 -13 -7 -13 -8 -13 -7 -13 -8 -12 -8 -12 -8 -12 -7 -12 -7 -13 -7 -12 -6 -12 -6 0 0 -12 -6 -12 -6 -12 -6 -11 -5 -13 -6 -12 -5 -12 -5 -12 -5 -12 -4 -12 -4 -13 -3 -12 -4 -13 -3 -13 -3 -12 -3 -13 -3 -13 -3 -13 -2 -13 -2 -13 -2 -13 -1 -14 -2 -13 -1 -14 -1 -14 -1 -14 0 0 0 0 0 0 0 0 0 0 0]"
"1768831230588147,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 2 -16 2 -17 1 -17 1 -17 0 -17 0 -16 0 -17 -1 -16 -1 -17 -2 -16 -2 -16 -2 -16 -3 -16 -3 -16 -3 -15 -2 -15 -3 -15 -3 -15 -3 -15 -3 -15 -3 -14 -3 -14 -2 -14 -3 -14 -3 -13 -2 0 0 -13 -1 -14 -1 -13 -1 -13 -1 -14 -1 -14 0 -13 0 -14 0 -13 1 -13 1 -13 1 -14 1 -13 1 -13 2 -13 2 -13 3 -14 2 -13 3 -13 4 -13 4 -13 4 -13 4 -14 4 -13 4 -13 4 -13 4 0 0 0 0 0 0 0 0 0 0]"
"1768831230592487,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 6 15 6 16 5 16 5 17 4 16 4 16 3 16 2 16 2 16 2 17 1 16 1 16 2 16 1 16 1 16 0 15 0 15 0 15 1 16 1 15 0 15 1 15 0 14 1 14 1 14 1 14 0 0 1 14 2 13 2 13 2 13 2 13 3 13 3 13 3 13 3 12 3 12 3 12 4 13 5 13 5 13 4 12 5 12 6 12 6 12 6 12 6 12 6 12 7 12 7 12 8 12 7 12 8 12 0 0 0 0 0 0 0 0 0 0]"
"1768831230598968,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -13 9 -13 9 -13 9 -12 10 -13 10 -12 10 -12 11 -11 11 -11 11 -11 11 -10 11 -10 11 -10 11 -10 11 -10 11 -9 11 -9 11 -10 10 -9 11 -8 10 -8 11 -9 10 -8 10 -9 10 -8 10 -9 0 0 9 -8 9 -8 9 -8 9 -9 8 -9 9 -9 8 -9 8 -9 8 -9 8 -10 7 -10 7 -10 7 -10 7 -10 7 -11 7 -11 7 -11 7 -11 6 -12 7 -12 6 -11 6 -12 6 -12 6 -12 6 -13 6 -13 0 0 0 0 0 0 0 0 0 0]"
"1768831230603294,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 -16 -3 -17 -3 -17 -3 -17 -2 -17 -2 -17 -1 -17 0 -17 0 -17 0 -17 1 -17 1 -16 2 -16 1 -16 2 -16 2 -15 2 -15 2 -15 2 -16 2 -15 2 -15 1 -15 2 -14 2 -15 1 -15 1 -14 0 0 1 -14 0 -14 0 -14 0 -14 0 -14 -1 -14 -1 -14 -1 -14 -1 -13 -1 -13 -2 -14 -2 -13 -2 -13 -3 -14 -3 -14 -3 -14 -3 -14 -4 -14 -4 -14 -4 -14 -4 -14 -5 -14 -5 -14 -5 -14 -5 -14 -5 -14 0 0 0 0 0 0 0 0 0 0]"
"1768831230609780,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 9 -14 8 -14 8 -15 8 -15 7 -15 7 -15 6 -15 5 -16 6 -16 5 -15 5 -15 5 -15 4 -15 4 -15 3 -15 4 -15 4 -14 4 -15 3 -14 3 -14 3 -14 3 -14 3 -14 3 -13 3 -13 4 0 0 -13 3 -13 3 -12 4 -13 4 -12 4 -12 4 -12 4 -12 5 -12 5 -11 6 -12 6 -11 5 -11 6 -11 6 -11 7 -11 7 -11 7 -11 8 -11 8 -11 8 -11 8 -10 8 -11 8 -11 9 -10 9 -11 9 0 0 0 0 0 0 0 0 0 0]"
"1768831230614102,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 15 -5 15 -5 15 -5 15 -6 15 -7 14 -7 14 -7 14 -8 14 -8 14 -8 14 -8 13 -9 13 -9 13 -9 12 -8 12 -9 12 -8 12 -8 11 -9 11 -8 11 -8 11 -8 11 -8 11 -8 11 -7 11 0 0 -7 11 -6 11 -6 11 -7 11 -6 11 -6 11 -6 11 -5 11 -5 12 -5 11 -5 12 -5 11 -4 12 -4 12 -4 12 -4 12 -3 12 -3 12 -2 13 -3 13 -2 13 -2 13 -2 13 -2 12 -2 13 -2 13 0 0 0 0 0 0 0 0 0 0]"
"1768831230618435,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -17 -1 -16 -1 -17 -2 -17 -3 -17 -3 -16 -3 -16 -4 -16 -4 -16 -4 -16 -5 -16 -5 -15 -5 -15 -6 -15 -6 -15 -6 -15 -5 -14 -5 -14 -6 -14 -6 -14 -7 -14 -6 -14 -6 -14 -5 -13 -5 -13 -5 -13 -5 0 0 -13 -4 -14 -5 -13 -4 -13 -3 -13 -4 -13 -3 -13 -3 -13 -3 -13 -2 -13 -2 -13 -1 -13 -2 -13 -1 -13 -1 -13 -1 -13 0 -14 0 -13 0 -14 0 -14 0 -14 1 -14 1 -14 1 -14 1 -14 1 -14 2 0 0 0 0 0 0 0 0 0 0]"
